Protic Liquids	Unknown Compound
Protic Liquids	Methane
Protic Liquids	Ethane
Protic Liquids	Tribromoethane
Protic Liquids	Cyclopropane
Protic Liquids	Cyclohexane
Protic Liquids	Phenylpropane
Protic Liquids	Hexane
Protic Liquids	Octane
Protic Liquids	Dimethylpropane
Protic Liquids	Isobutane
Alkene	Toluene
Alkene	Napthalene
Alkene	Benzene
Alkene	Methylene Chloride
Alkene	Propylene
Alkene	Dichloroethylene
Alkene	Dibromobenzene
Alkene	Aniline
Alkene	Nitrobenzene
Alkene	Anthracene
Alkyne	Acetylene
Alkyne	Ethylene
Alkyne	Propyne
Alkyne	Trimethylpentyne
Alkyne	Trichloroethylyne
Alkyne	Hexyne
Alkyne	Dibromobenzyne
Alkyne	Dimethylpropyne
Alkyne	Cyclopropyne
Alkyne	Phenylpropyne
Volatile Compounds	Ethyl Alcohol
Volatile Compounds	Isopropyl Alcohol
Volatile Compounds	Butyl Alcohol
Volatile Compounds	Prim-iso-amyl Alcohol
Volatile Compounds	Heptyl Alcohol
Volatile Compounds	Allyl Alcohol
Volatile Compounds	Octyl Alcohol
Volatile Compounds	Hexyl Alcohol
Volatile Compounds	Benzyl Alcohol
Volatile Compounds	Furfuryl Alcohol
Ether	Phenetole
Ether	Anisole
Ether	Diphenyl Ether
Ether	Diethyl Ether
Ether	Di-iso-propyl Ether
Ether	Ethyl n-propyl Ether
Ether	Di-iso-butyl Ether
Ether	Ethyl Acetate
Ether	Ethyl Stearate
Ether	Resorcinol Diethyl Ether
Aldehydes/Ketone	Formaldehyde
Aldehydes/Ketone	Acetaldehyde
Aldehydes/Ketone	Acetone
Aldehydes/Ketone	Nitrobenzaldehyde
Aldehydes/Ketone	Mesityl Oxide
Aldehydes/Ketone	Diacetone Alcohol
Aldehydes/Ketone	Furfural
Aldehydes/Ketone	Butyraldehyde
Aldehydes/Ketone	Methyl Ethyl Ketone
Aldehydes/Ketone	Methyl Iso-butyl Ketone
Carboxylic Acid	Formic Acid
Carboxylic Acid	Acetic Acid
Carboxylic Acid	Butyric Acid
Carboxylic Acid	Benzoic Acid
Carboxylic Acid	Glycine
Carboxylic Acid	Oxalic Acid
Carboxylic Acid	Citric Acid
Carboxylic Acid	Silicic Acid
Carboxylic Acid	Cinchomeronic Acid
Carboxylic Acid	Quinolinic Acid
Amine	Ethylamine
Amine	Aniline
Amine	Napthhylamine
Amine	Benzidine
Amine	Pyridine
Amine	Thymine
Amine	Cytosine
Amine	Uracil
Amine	Adenine
Amine	Guanine
Strong Acid	Hydrochloric Acid
Strong Acid	Acetic Acid
Strong Acid	Sulfuric Acid
Strong Acid	Phosphoric Acid
Strong Acid	Flouric Acid
Strong Acid	Hydrocyanic Acid
Strong Acid	Carbonic Acid
Strong Acid	Nitric Acid
Strong Acid	Hydroiodic Acid
Strong Acid	Chlorous Acid
Base	Sodium Hydroxide
Base	Barium Hydroxide
Base	Ammonia
Base	Cyanide
Base	Calcium Carbonate
Base	Nickel Oxide
Base	Ammonium Chloride
Base	Magnesium Hydroxide
Base	Iron Hydroxide
Base	Potassium  Hydroxide
Salts	Earlandite
Salts	Humboldtine
Salts	Mellite
Salts	Oxammite
Salts	Whewellite
Salts	Sodium Chloride
Salts	Ammonium Nitrate
Salts	Sodium Flouride
Salts	Lithium Sulphate
Salts	Sellenium Chloride
Lensing Solid	Glass
Lensing Solid	Quartz
Lensing Solid	Diamonds
Lensing Solid	Rubies
Lensing Solid	Emeralds
Lensing Solid	Zircon
Lensing Solid	Zeunerite
Lensing Solid	Vanadinite
Lensing Solid	Tourmaline
Lensing Solid	Pyrargyrite
Heavy Element	Uranium
Heavy Element	Dysprosium
Heavy Element	Erbium
Heavy Element	Holmium
Heavy Element	Lutetium
Heavy Element	Neodymium
Heavy Element	Ytterbium
Heavy Element	Thorium
Heavy Element	Terbium
Heavy Element	Rhenium
Transition Metal	Zinc
Transition Metal	Copper
Transition Metal	Nickel
Transition Metal	Gold
Transition Metal	Silver
Transition Metal	Tin
Transition Metal	Lead
Transition Metal	Iron
Transition Metal	Mercury
Transition Metal	Tungsten
Halogens/Noble Gas	Flourine
Halogens/Noble Gas	Chlorine
Halogens/Noble Gas	Bromine
Halogens/Noble Gas	Iodine
Halogens/Noble Gas	Helium
Halogens/Noble Gas	Neon
Halogens/Noble Gas	Argon
Halogens/Noble Gas	Krypton
Halogens/Noble Gas	Xenon
Halogens/Noble Gas	Radon
Amino Acid	Asparagine
Amino Acid	Aspartic Acid
Amino Acid	Cysteine
Amino Acid	Glycine
Amino Acid	Isoleucine
Amino Acid	Phenylalanine
Amino Acid	Proline
Amino Acid	Tryptophan
Amino Acid	Tyrosine
Amino Acid	Valine
Industrial Chemical	Sodium Carbonate
Industrial Chemical	Urea
Industrial Chemical	Styrene
Industrial Chemical	Cumene
Industrial Chemical	Potash
Industrial Chemical	Butadiene
Industrial Chemical	Titanium Dioxide
Industrial Chemical	Caprolactam
Industrial Chemical	Terepthalic Acid
Industrial Chemical	Formaldehyde
ENDF
